AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
121	girl	agree	agree	agree	disagree	agree	agree strongly	agree	disagree	agree strongly	agree strongly	5	agree strongly	niet echt waar	agree	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree strongly	agree	disagree	disagree	disagree	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	agree			86	1	0	6	Selected	Catholic	1	0	low
124	girl	agree	disagree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	3	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	disagree	disagree	agree	disagree strongly	agree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	agree strongly	agree	agree	disagree strongly	disagree strongly	disagree	agree	disagree	disagree	agree	disagree	disagree	disagree strongly	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree			59.9	1	14	6	Selected	COE	0	0	low
126	girl	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	6	disagree strongly	helemaal waar	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly			77	1	16	8	Selected	State	0	1	low
129	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	54.8	30	52	1	2	3	Selected	State	0	1	low
139	girl	disagree	agree	disagree	disagree strongly	agree	agree strongly	disagree	disagree	agree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree	agree	disagree	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	62.3	35.9	63	1	18	6	Selected	COE	0	0	low
144	girl	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	6	agree	helemaal niet waar	disagree	agree	disagree strongly	agree	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree	disagree strongly	agree	disagree	agree strongly	agree strongly	agree	agree strongly	agree	agree	agree	disagree	disagree	agree	agree strongly	agree strongly	agree	agree	disagree	disagree	agree	56	36	46	0	10	6	Selected	State	0	1	low
140	girl	disagree	agree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	9	agree strongly	niet echt waar	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	49.4	40.9	45.63	1	12	4	Selected	Catholic	1	0	low
138	girl	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	agree	disagree	disagree	8	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree	agree strongly	agree	agree	agree	disagree	agree strongly	agree strongly	agree	disagree	agree	disagree	disagree strongly	disagree strongly	disagree	agree strongly	disagree	disagree	agree	disagree strongly	agree	agree	agree	agree	disagree	disagree	agree	agree strongly	agree	64	41.5	64	1	16	9	Selected	State	0	1	low
126	girl	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	57.7	41.8	52.3	1	9	2	Selected	State	0	1	low
153	boy	agree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree	disagree strongly	7	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	disagree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	agree	agree	disagree	disagree strongly	agree strongly	disagree	agree	agree	agree	agree	disagree	disagree	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree	39	43	46	0	0	2	Not Selected	State	0	1	low
136	boy	disagree	agree	agree	agree strongly	disagree strongly	agree strongly	agree	agree	agree	disagree		agree	helemaal waar	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	disagree	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	agree	disagree strongly	agree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree	agree	disagree	agree strongly	agree strongly	55	45	57	1	4	6	Not Selected	State	0	1	low
124	boy	agree	agree	agree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	10	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	disagree	disagree	disagree	disagree strongly	disagree	agree	disagree	agree strongly	disagree	agree	agree strongly	disagree	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	disagree	disagree	disagree	disagree	disagree	agree strongly	agree	agree strongly	disagree	agree	disagree	63.75	47.19	57.25	0	6	4	Not Selected	State	0	1	low
112	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree	disagree	agree	agree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree	73.3	47.5	62.4	1	2	5	Selected	Catholic	1	0	low
138	boy	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	5	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	agree strongly	agree strongly	agree	agree	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree strongly	50	48.43	54.6	1	3	3	Not Selected	State	0	1	low
120	boy	agree strongly	agree	disagree strongly	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	9	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree strongly	agree	agree	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree	agree strongly	60	50	61	1	14	6	Not Selected	State	0	1	low
122	boy	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree	disagree strongly	disagree	agree	agree	agree	disagree strongly	disagree strongly	disagree	disagree	agree	agree strongly	agree	disagree	disagree	agree strongly	disagree	agree strongly	disagree	agree strongly	agree	agree	agree strongly	58.99	50.39	59.5	1	4	5	Not Selected	State	0	1	low
123	boy	disagree	agree strongly	agree	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree	disagree	7	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree	agree	agree	agree strongly	disagree	agree	agree	disagree	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree	agree	agree	disagree	disagree	disagree	agree	disagree	agree	agree strongly	agree	disagree	agree	agree strongly	agree	73	51	60	1	0	6	Not Selected	State	0	1	low
121	boy	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	disagree	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree strongly	75.59	51.96	69.4	1	7	3	Not Selected	State	0	1	low
134	girl	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree	disagree strongly	8	agree	helemaal niet waar	disagree	disagree	disagree	disagree	disagree strongly	disagree	agree	agree	agree	agree	agree	disagree strongly	agree	agree	disagree strongly	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	agree	disagree	disagree	disagree	disagree	agree	agree strongly	disagree	disagree	disagree	agree	agree	65.89	52.32	62.25	1	16	8	Selected	State	0	1	low
133	boy	disagree strongly	agree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	niet echt waar	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree	disagree	agree	agree	agree	disagree	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree	agree	disagree	agree	disagree	disagree strongly	disagree	disagree	disagree	disagree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree	59	53	59.5	1	10	6	Not Selected	State	0	1	low
132	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree	disagree strongly	disagree strongly	10	agree strongly	niet echt waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree	agree	agree strongly	agree	disagree	agree	agree	disagree strongly	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree	agree	disagree	disagree	disagree	disagree	disagree	disagree	disagree	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree	66	55	60.5	1	10	6	Not Selected	State	0	1	low
	girl	agree strongly	agree	disagree strongly	disagree strongly	agree	disagree	agree	agree strongly	disagree strongly	disagree strongly	8	disagree	helemaal waar	disagree strongly	agree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	agree	disagree	agree strongly	disagree	agree	disagree	agree strongly	agree strongly	agree	agree strongly	disagree strongly	72.5	55	64.2	1	12	4	Selected	Catholic	1	0	low
132	boy	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree	5	agree strongly	niet echt waar	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree	agree strongly	disagree	disagree	disagree	disagree	disagree	disagree	agree	agree strongly	agree	disagree strongly	disagree	agree	agree	57.5	55.5	58.5	1	3	3	Not Selected	State	0	1	low
128	boy	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	3	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	disagree	agree	disagree strongly	agree	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree	69.7	55.6	63.7	1	17	8	Not Selected	COE	0	0	low
138	girl	agree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	8	agree	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree	disagree	agree	agree	agree	agree strongly	agree	disagree	disagree	agree strongly	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree	agree	agree	disagree	agree	disagree strongly	disagree	agree	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	31	55.8	54.7	0	0	6	Selected	Catholic	1	0	low
125	boy	agree	disagree	agree	agree strongly	disagree	disagree	disagree	disagree	agree	agree strongly	8	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	69.5	56	67	1	15	6	Not Selected	State	0	1	low
